WwcOOrTaRHk	Passage RVO H1-4 (Przejście przez drzwi RVO H1-4)
yA1jzJd-KDs	Passage RVO H9-8 (Przejście przez drzwi RVO H9-8)
UOP9CuHYxO0	Intersection PR two robots (Skrzyżowanie równorzędne PR dwa roboty)
wyMusseTidw	Intersection R two robots (Skrzyżowanie równorzędne R dwa roboty)
z5K-o3MS0QA	Intersection R+ two robots (Skrzyżowanie równorzędne R+ dwa roboty)
m2ot98VABuQ	Intersection RVO two robots (Skrzyżowanie równorzędne RVO dwa roboty)
ysETYbJxHHk	Type 8 intersection PR four robots (Skrzyżowanie typu 8 PR cztery roboty)
lBuBQvuYxfs	Type 8 intersection PR two robots (Skrzyżowanie typu 8 PR dwa roboty)
Qx5Hv4K5VxQ	Type 8 intersection R four robots (Skrzyżowanie typu 8 R cztery roboty)
LbIOE8CPUxk	Type 8 intersection R two robots (Skrzyżowanie typu 8 R dwa roboty)
mzvhy2NLovc	Type 8 intersection R+ four robots (Skrzyżowanie typu 8 R+ cztery roboty)
Cb8YuuOCax4	Type 8 intersection R+ two robots (Skrzyżowanie typu 8 R+ dwa roboty)
R0i9Sr-kYls	Type 8 intersection RVO four robots (Skrzyżowanie typu 8 RVO cztery roboty)
S_qh6hzg0VM	Type 8 intersection RVO two robots (Skrzyżowanie typu 8 RVO dwa roboty)
Sy4BFpAAgMg	Narrow corridor PR 1-1 (Wąski korytarz PR 1-1)
i2eM5qEgDCM	Narrow corridor PR 1-2 (Wąski korytarz PR 1-2)
EgVwd-R534k	Narrow corridor PR 8-3 (Wąski korytarz PR 8-3)
0NOGP7hx-XM	Narrow corridor R 1-1 (Wąski korytarz R 1-1)
_Siwg7M2j6g	Narrow corridor R 1-2 (Wąski korytarz R 1-2)
_ykdjD7EhaA	Narrow corridor R 8-3 (Wąski korytarz R 8-3)
Yr-ewbA3sHY	Narrow corridor R+ 1-1 (Wąski korytarz R+ 1-1)
BdUxgCE-e_0	Narrow corridor R+ 1-2 (Wąski korytarz R+ 1-2)
NpekyFjj_oA	Narrow corridor R+ 8-3 (Wąski korytarz R+ 8-3)
2EQ3cyawR44	Narrow corridor RVO 1-1 (Wąski korytarz RVO 1-1)
